[BT下载]西部黑手党 Comancheros.1961.50th.Anniv.Bluray.1080p.DTS-HD.x264-Grym 15GB,The.Comancheros.1961.50th.Anniv.Bluray.1080p.DTS-HD.x264-Grym.torrent,http://www.btbtt.co/attach-download-fid-1183-aid-3166040.htm
[BT下载]Night.of.The.Big.Heat.1967.1080p.BluRay.X264-7SinS 6.5GB,Night.of.The.Big.Heat.1967.1080p.BluRay.X264-7SinS[btbbt.cc].torrent,http://www.btbtt.co/attach-download-fid-1183-aid-3412389.htm
[BT下载]复仇之灵 Some.Kind.of.Hate.2015.1080p.BluRay.x264-NODLABS 6.56GB,Some.Kind.of.Hate.2015.1080p.BluRay.x264-NODLABS.torrent,http://www.btbtt.co/attach-download-fid-1183-aid-3118309.htm
[BT下载]饥饿游戏3:嘲笑鸟(下) 2015.1080p.BluRay.x264-SPARKS 8.76GB,The.Hunger.Games.Mockingjay.Part.2.2015.1080p.BluRay.x264-SPARKS.torrent,http://www.btbtt.co/attach-download-fid-1183-aid-3070995.htm
[BT下载]恐怖相亲 Bad.Biology.2008.1080p.BluRay.x264.DTS-FGT 6.7GB,Bad.Biology.2008.1080p.BluRay.x264.DTS-FGT.torrent,http://www.btbtt.co/attach-download-fid-1183-aid-3036961.htm
[BT下载]七宝奇谋/小灵精 The.Goonies.1985.1080p.BluRay.VC-1.TrueHD.5.1-FGT 44.6GB,The.Goonies.1985.1080p.BluRay.VC-1.TrueHD.5.1-FGT.torrent,http://www.btbtt.co/attach-download-fid-1183-aid-3107540.htm
[BT下载]B级片:西柏林的欲望与声音1979-1989 2015.DOCU.1080p.BluRay.x264-BiQ 6.53GB,B-Movie.Lust.and.Sound.In.West-Berlin.1979-1989.2015.DOCU.1080p.BluRay.x264-BiQ.torrent,http://www.btbtt.co/attach-download-fid-1183-aid-3160288.htm
[BT下载]恐怖解剖室[DIY简繁]2008 Blu-ray 1080p VC-1 DTS-HD.MA.5.1-HDS 20GB,恐怖解剖室.原盘中字.BD.Iso.torrent,http://www.btbtt.co/attach-download-fid-1183-aid-3129718.htm
[BT下载]猛鬼夜惊魂/稻草人 Night.of.The.Scarecrow.1995.1080p.BluRay.x264.DTS-FGT 7.5GB,Night.of.The.Scarecrow.1995.1080p.BluRay.x264.DTS-FGT[btbbt.cc].torrent,http://www.btbtt.co/attach-download-fid-1183-aid-3408966.htm
[BT下载]尤利卡/人造天堂 Eureka.1983.1080p.BluRay.x264-SPOOKS 7.95GB,Eureka.1983.1080p.BluRay.x264-SPOOKS.torrent,http://www.btbtt.co/attach-download-fid-1183-aid-3178445.htm
[BT下载]警示 The.Warning.2015.1080p.WEBRip.DD2.0.x264-NTb 8.1GB,The.Warning.2015.1080p.WEBRip.DD2.0.x264-NTb[btbbt.cc].torrent,http://www.btbtt.co/attach-download-fid-1183-aid-3411869.htm
[BT下载]双重重击/祸不单行 Double.Whammy.2001.1080p.BluRay.x264.DTS-FGT 7.6GB,Double.Whammy.2001.1080p.BluRay.x264.DTS-FGT.torrent,http://www.btbtt.co/attach-download-fid-1183-aid-3122410.htm
[BT下载]老爸绑架案 Dadnapped.2009.720p.HDTV.x264-REGRET 2.98GB,Dadnapped.2009.720p.HDTV.x264-REGRET.torrent,http://www.btbtt.co/attach-download-fid-1183-aid-3136040.htm
[BT下载]玩偶的恐惧 The.Horror.of.the.Dolls.2010.1080p.WEBRip.DD2.0.x264-BTW 3.84GB,The.Horror.of.the.Dolls.2010.1080p.WEBRip.DD2.0.x264-BTW[btbbt.cc].torrent,http://www.btbtt.co/attach-download-fid-1183-aid-3414066.htm
[BT下载]女儿 The.Daughter.2015.1080p.BluRay.x264-PFa 6.54GB,The.Daughter.2015.1080p.BluRay.x264-PFa[btbbt.cc].torrent,http://www.btbtt.co/attach-download-fid-1183-aid-3419947.htm
[BT下载]三百斯巴达勇士/三百侍卫 The.300.Spartans.1962.1080p.BluRay.x264.DTS-FGT 8GB,The.300.Spartans.1962.1080p.BluRay.x264.DTS-FGT[btbbt.cc].torrent,http://www.btbtt.co/attach-download-fid-1183-aid-3414642.htm
[BT下载]贞子3D[3D左右]Sadako.3D.2012.1080p.BluRay.x264-SADPANDA 7.65GB,Sadako.3D.2012.1080p.BluRay.x264-SADPANDA[btbbt.cc].torrent,http://www.btbtt.co/attach-download-fid-1183-aid-3357349.htm
[BT下载]天赐神威/棒球天使 Angels.in.the.Outfield.1951.1080p.WEBRip.DD1.0.x264-SbR 9.9GB,Angels.in.the.Outfield.1951.1080p.WEBRip.DD1.0.x264-SbR[btbtt.co].torrent,http://www.btbtt.co/attach-download-fid-1183-aid-3595278.htm
[BT下载]紧急盯梢令/窥佬杂差 Stakeout.1987.1080p.WEBRip.DD5.1.x264-AM 12.4GB,Stakeout.1987.1080p.WEBRip.DD5.1.x264-AM[btbbt.cc].torrent,http://www.btbtt.co/attach-download-fid-1183-aid-3415057.htm
[BT下载]沼泽地/戮岛节考[外挂中字]Marshland.2014.1080p.BluRay.x264-WiKi 7.96GB,Marshland.2014.1080p.BluRay.x264-WiKi.torrent,http://www.btbtt.co/attach-download-fid-1183-aid-3300532.htm
[BT下载]我家种大麻 Growing.Op.2008.1080p.BluRay.x264.DTS-FGT 10.73GB,Growing.Op.2008.1080p.BluRay.x264.DTS-FGT[btbbt.cc].torrent,http://www.btbtt.co/attach-download-fid-1183-aid-3364568.htm
[BT下载]罗尼和威尔 Restless.Natives.1985.1080p.WEBRip.DD2.0.x264-NTb 9.08GB,Restless.Natives.1985.1080p.WEBRip.DD2.0.x264-NTb[btbbt.cc].torrent,http://www.btbtt.co/attach-download-fid-1183-aid-3408238.htm
[BT下载]豪情四海/巴格西 Bugsy.1991.1080p.WEBRip.DD5.1.x264-NTb 10.98GB,Bugsy.1991.1080p.WEBRip.DD5.1.x264-NTb[btbbt.cc].torrent,http://www.btbtt.co/attach-download-fid-1183-aid-3410823.htm
[BT下载]尸骨无存3:零号病人 Cabin.Fever.Patient.Zero.2014.1080p.BluRay.x264.DTS-FGT 6.9GB,Cabin.Fever.Patient.Zero.2014.1080p.BluRay.x264.DTS-FGT.torrent,http://www.btbtt.co/attach-download-fid-1183-aid-3030292.htm
[BT下载]复仇之灵 Some.Kind.of.Hate.2015.720p.BluRay.x264-NODLABS 3.28GB,Some.Kind.of.Hate.2015.720p.BluRay.x264-NODLABS.torrent,http://www.btbtt.co/attach-download-fid-1183-aid-3118302.htm
[BT下载]军火贩/军火狗[DIY简繁]War Dogs 2016 BluRay 1080p AVC DTS-HD MA5.1-HDSky 33GB,War.Dogs.2016.BluRay.1080p.AVC.DTS-HD.MA5.1-bb@HDSky.torrent,http://www.btbtt.co/attach-download-fid-1183-aid-3596740.htm
